Reclassified,Media Channel Off/On (copy),Media Channel (copy 2),Campaign (copy),Week Start,Date,Value
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,13/02/2017,5
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,20/02/2017,5
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,27/02/2017,2
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,06/03/2017,1
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,13/03/2017,0
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,20/03/2017,0
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,27/03/2017,49
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,03/04/2017,0
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,Mondays,10/04/2017,72
SMB,Online,Display - Affiperf,O2_Enterprise2016_20160414_20161231_DIS_DRS_GBR_61,Mondays,16/01/2017,11
SMB,Online,Display - Affiperf,O2_Enterprise2016_20160414_20161231_DIS_DRS_GBR_61,Mondays,23/01/2017,158
SMB,Online,Display - Affiperf,O2_Enterprise2016_20160414_20161231_DIS_DRS_GBR_61,Mondays,30/01/2017,2
Trading,Online,Display - Affiperf,O2_JanSale_2016-12-22_2017-01-31_DIS_DRS_JS_GBR_72,Mondays,30/01/2017,6703
